id,hospital_name,sido,sggu,emdong,address,longitude,latitude
8ekxdr,오썸성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 107, 메디타워 6층 (역삼동)",127.0287237,37.498664
kz40aq,오앤영성형외과의원,서울,강남구,신사동,"서울특별시 강남구 압구정로30길 60, 1,지하1층 (신사동)",127.0288815,37.5234551
15o2nq,오앤의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 428, 만이빌딩 8층 (역삼동)",127.026849,37.5008145
w4c6lb,오엘의원,서울,강남구,논현동,"서울특별시 강남구 학동로6길 53, 오엘의원 2,3층 (논현동)",127.0268333,37.5092142
pj8t22,오운의원,서울,강남구,삼성동,"서울특별시 강남구 테헤란로87길 36, 도심공항타워 301~303호 (삼성동)",127.0586267,37.5104935
c50b8y,오인성형외과의원,서울,강남구,논현동,"서울특별시 강남구 학동로 219, 6층 (논현동, 국제빌딩)",127.0331486,37.5149993
5dnwng,오체안피부과의원,서울,강남구,수서동,"서울특별시 강남구 광평로 281, 수서빌딩 2층일부층 (수서동)",127.103087,37.4881219
uczh9i,오큐라의원,서울,강남구,논현동,"서울특별시 강남구 봉은사로 211, 그림바우빌딩 4층 (논현동)",127.0352111,37.5079982
er7u8h,오크우드봄의원,서울,강남구,삼성동,"서울특별시 강남구 테헤란로87길 46, 호텔오크우드프리미어 1B1호 (삼성동)",127.0581852,37.5109522
0imjyj,오퍼스의원,서울,강남구,신사동,"서울특별시 강남구 도산대로27길 43, 2층, 3층 (신사동)",127.027341,37.5227774
cmrsez,오프닝성형외과의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 596, 극동빌딩 5층 (논현동)",127.020372,37.5150269
ytkw28,온리아이성형외과의원,서울,강남구,신사동,"서울특별시 강남구 도산대로 121, YK타워 9층 (신사동)",127.0217421,37.5174154
37c6qc,온리원의원,서울,강남구,대치동,"서울특별시 강남구 선릉로86길 30, SH빌딩 3층 (대치동)",127.0522275,37.5036353
6k8djz,온앤위드의원,서울,강남구,신사동,"서울특별시 강남구 논현로175길 6, 3층 일부 (신사동)",127.0279356,37.526372
r5swk8,온에어성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 422, 6층 (역삼동)",127.0268811,37.500395
tempxk,온유성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 828, 3,4층 (신사동)",127.0285281,37.5224514
c5i8xo,올라라의원,서울,강남구,신사동,"서울특별시 강남구 논현로171길 11, 3층 (신사동)",127.0274224,37.5254659
mxlvz4,올로성형외과의원,서울,강남구,신사동,"서울특별시 강남구 논현로 867, 한승빌딩 3층 (신사동)",127.0282076,37.526188
qke2gj,올리나의원,서울,강남구,논현동,"서울특별시 강남구 강남대로 514, 3층 (논현동, 두보빌딩)",127.023196,37.5081628
r81bmq,올리미의원,서울,강남구,신사동,"서울특별시 강남구 압구정로28길 28, 2층 (신사동)",127.0275307,37.5247742
f7zk94,올리브성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 강남대로 376, 8층 (역삼동, 강남8258빌딩)",127.0288062,37.4965747
yxfibl,올리브피부과의원,서울,강남구,도곡동,"서울특별시 강남구 선릉로 225, 도곡렉슬상가 3층 306호 (도곡동)",127.0527051,37.4953009
ejgubl,올리팅성형외과의원,서울,강남구,역삼동,"서울특별시 강남구 테헤란로 107, 메디타워 5,6층 (역삼동)",127.0287678,37.4986924
